en,de,it
to taste,abschmecken,assaggiare
prepared,vorbereitet,preparato
in oil,in Öl,sott'olio
pitted,entsteint,snocciolat
smoked,geräuchert,affumicat
nature,nature,natura
halfed,halbiert,dimezzat
grounded,gemahlen,terr
coarse-grained,grobkörnig,grana gross
fresh,frisch,fresc
##,frisches,##
dried,getrocknet,essiccat
frozen,gefroren,congelat
##,TK,##
refrigerated,gekühlt,refrigerato
hot,heiss,caldo
cold,kalt,freddo
lukewarm,lauwarm,tiepido
fry,frittieren,friggere
##,ausbacken,##
drained,abgetropft,sgocciolat
organic,Bio,biologic
crude,roh,grezz
refined,verfeinert,raffinat
##,zerrieben,grattugiat
sliced,geschnitten,affettat
shelled,geschälte,sgranat
skinned,geschält,spellat
peeled,geschält,pelat
chopped,gehackt,tritat
diced,gewürfelt,dadini
grated,gerieben,grattugiat
to fry,zum Braten,friggere
for frying,zum Anbraten,per friggere
m.-large,m.-großes,M.-large
m.-large,m.-große,M.-large
##,grosse,##
large,gross,grand
great,großes,grande
##,große,##
big,groß,grande
small,kleine,piccolo
small,klein,piccola
medium,mittelgross,medio
medium,mittelgross,media
raw,roh,cruda
raw,roh,crudo
uncooked,ungekocht,crudo
cooked,gekocht,cucinata
fully cooked,gar,Completamente cotto
processed,verarbeitet,elaborata
untreated,unbehandelt,non trattato
toasted,getoastet,tostata
\/s,\/n,\/n
(s),\(n\),##
##,\/e,##
##,", gestr.",##
##,", gehäuft",##
piece,stück,pezzo
stalks,stange,steli
skinless,hautlos,senza pelle
boneless,ohne Knochen,senza ossa
low-sodium,natriumarm,basso contenuto di sodio
additional,zusätzlich,addizionale
freshly ground,frisch gemahlen,appena macinato
long grain,langkorn,grana lunga
short grain,kurzkorn,grana corta
finely,fein,finemente
slices,scheiben,fettine
slice,scheibe,fette
crumbled,zerbröckelt,sbriciolat
shredded,geschreddert,triturati
of,von,##
inch,inch,inch
to,zum,per
an,ein,un
accompaniment,Begleitung,accompagnament
assorted,gemischt,assortit
heaped,gestrichen,colmo
natural,natürlich,naturale
available,verfügbar,disposizione
market,Markt,mercato
supermarket,Supermarkt,supermercato
specialty,Spezialität,specialità
food,Lebensmittel,cibo
seasonally,saison,stagionalmente
Betty Bossy,Betty Bossy,Betty Bossy
Fine Food,Fine Food,Fine Food
shot glass,Schnapsglas,bicchierino
shot glasses,Schnapsgläser,bicchierini
glasses,Gläser,bicchieri
birds eye,birds eye,birds eye
Kraft,Kraft,Kraft
Unilever,Unilever,Unilever
bottle,Flasche,bottiglia
bottled,Flaschen-,in bottiglia
chilled,gekühlt,refrigerata
flavored,mit ...-Geschmack,aromatizzato
coarsely,grob,grossolanamente
packaging,Verpackung,confezione
container,Container,contenitore
crushed,gebrochen,schiacciato
crusty,krustig,irascibile
crustless,crustless,crustless
cubed,Würfel,al cubo
diameter,Durchmesser,diametro
disposable,Einweg,monouso
Ready mix,Fertigmischung,mix pronto
for,für,per
Ready product,Fertigprodukt,prodotto pronto
flat,eben,piatto
Nestle,Nestle,Nestle
deselect All,Alle abwählen,deselezionare tutto
the,der,il
the,die,il
the,das,il
from that,davon,da quello
out,aus,su
Mill,Mühle,Mulino
sheet,Blech,foglio
working surface,Arbeitsfläche,superficie di lavoro
baking pan,Backform,teglia
thermometer,Thermometer,termometro
baking sheet,Backblech,teglia
roll-out rod,Ausrollstab,asta roll-out
cookie cutter,Ausstecher,cookie cutter
grill tray,Grillschale,vassoio griglia
baking cups,Backförmchen,pirottini
skewer,Spiess,spiedo
mat,Matte,stuoia
pan,Pfanne,padella
drip pan,Tropfschale,leccarda
loaf pan,Laibwanne,pagnotta padella
paper,Papier,carta
mixer,Rührgerät,miscelatore
stand mixer,Standmixer,mixer stand
waffle maker,Waffeleisen,cialde
blender,Mixer,miscelatore
form,Form,modulo
